t,plant,axis,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,teq_since_primordium
0,1,MS,False,0.00000000,5.84000000,NA,1,1670.85866047,1670.85866047,0.05410729,10,0.00000000,vegetative,0.23206370,1670.85866047
1,1,MS,False,0.00000000,6.26400000,0.00084029,1,1792.16757692,1792.16757692,0.05450322,10,0.00000000,vegetative,0.48097587,3463.02623739
2,1,MS,False,0.00000000,5.41500000,0.00053108,1,1549.26363809,1549.26363809,0.05455446,10,0.00000000,vegetative,0.69615137,5012.28987548
3,1,MS,False,0.00000000,6.22300000,0.00016941,1,1780.43723358,1780.43723358,0.05461211,10,0.00000000,vegetative,0.94343432,6792.72710906
4,1,MS,False,0.00000000,5.95700000,0.00002730,1,1704.33305487,1704.33305487,0.05466751,10,0.00000000,vegetative,1.18014724,8497.06016393
5,1,MS,False,0.00000000,5.73300000,0.00000936,1,1640.24532543,1640.24532543,0.05472116,10,0.00000000,vegetative,1.40795910,10137.30548935
6,1,MS,False,0.00000000,5.59000000,0.00000628,1,1599.33217672,1599.33217672,0.05477365,10,0.00000000,vegetative,1.63008856,11736.63766607
7,1,MS,False,0.00000000,5.51100000,0.00000319,1,1576.72980785,1576.72980785,0.05482546,10,0.00000000,vegetative,1.84907882,13313.36747392
8,1,MS,False,0.00000000,5.48000000,0.00000319,1,1567.86052387,1567.86052387,0.05487697,10,0.00000000,vegetative,2.06683722,14881.22799779
9,1,MS,False,0.00000000,5.45500000,0.00000330,1,1560.70787549,1560.70787549,0.05492819,10,0.00000000,vegetative,2.28360220,16441.93587328
10,1,MS,False,0.00000000,5.45000000,0.00000337,1,1559.27734582,1559.27734582,0.05497928,10,0.00000000,vegetative,2.50016850,18001.21321910
11,1,MS,False,0.00000000,5.46600000,0.00000331,1,1563.85504078,1563.85504078,0.05503680,10,0.00000000,vegetative,2.71737059,19565.06825988
12,1,MS,False,0.00000000,5.44500000,0.00000697,1,1557.84681614,1557.84681614,0.05510072,10,0.00000000,vegetative,2.93373821,21122.91507602
13,1,MS,False,0.00000000,5.38500000,0.00001414,1,1540.68046004,1540.68046004,0.05516377,10,0.00000000,vegetative,3.14772160,22663.59553606
14,1,MS,False,0.00000000,5.34600000,0.00001414,1,1529.52232858,1529.52232858,0.05522617,10,0.00000000,vegetative,3.36015526,24193.11786463
15,1,MS,False,0.00000000,5.34700000,0.00001476,1,1529.80843451,1529.80843451,0.05528838,10,0.00000000,vegetative,3.57262865,25722.92629914
